Consumer_ID,Age_Group,Gender,Income_Level,Preferred_Category,Purchase_Frequency,Avg_Spend,Channel,Loyalty_Member,Satisfaction_Score
C074,25-34,Female,Medium,Snacks,Bi-Weekly,26.00,In-Store,No,3.7
C075,25-34,Male,Medium,Beverages,Weekly,40.00,In-Store,Yes,4.2
C076,35-44,Female,High,Beauty,Bi-Weekly,75.00,In-Store,Yes,4.6
C077,35-44,Male,Medium,Electronics,Monthly,125.00,Online,Yes,4.1
C078,35-44,Female,Medium,Beverages,Weekly,34.00,In-Store,Yes,4.3
C079,45-54,Male,High,Electronics,Weekly,190.00,Online,Yes,4.7
C080,45-54,Female,High,Beauty,Bi-Weekly,85.00,In-Store,Yes,4.8
C081,45-54,Male,Medium,Snacks,Monthly,24.00,In-Store,No,3.6
C082,55-64,Female,Medium,Beverages,Bi-Weekly,32.00,In-Store,Yes,4.0
C083,55-64,Male,Medium,Electronics,Monthly,100.00,Online,No,3.7
C084,65+,Female,Medium,Beauty,Monthly,45.00,In-Store,Yes,4.2
C085,65+,Male,Medium,Beverages,Weekly,20.00,In-Store,No,3.3
C086,18-24,Female,Medium,Electronics,Monthly,65.00,Online,Yes,4.1
C087,18-24,Male,Low,Snacks,Weekly,14.00,In-Store,No,3.1
C088,25-34,Female,High,Beauty,Weekly,105.00,Online,Yes,4.9
C089,25-34,Male,Medium,Beverages,Bi-Weekly,38.00,In-Store,Yes,4.3
C090,35-44,Female,High,Electronics,Monthly,155.00,Online,Yes,4.5
C091,35-44,Male,Medium,Snacks,Weekly,30.00,In-Store,No,3.8
C092,35-44,Female,Medium,Beverages,Bi-Weekly,36.00,In-Store,Yes,4.2
C093,45-54,Male,High,Beauty,Monthly,70.00,Online,No,4.0
C094,45-54,Female,Medium,Snacks,Monthly,28.00,In-Store,No,3.7
C095,55-64,Male,High,Electronics,Bi-Weekly,145.00,Online,Yes,4.3
C096,55-64,Female,Medium,Beauty,Weekly,62.00,In-Store,Yes,4.5
C097,55-64,Male,Medium,Beverages,Monthly,26.00,In-Store,No,3.8
C098,65+,Female,Low,Snacks,Monthly,16.00,In-Store,No,3.1
C099,65+,Male,Medium,Beverages,Bi-Weekly,24.00,In-Store,No,3.4
C100,65+,Female,Medium,Beauty,Monthly,50.00,In-Store,Yes,4.0
