Product_ID,Product_Name,Category,Placement_Type,Store_Region,Month,Units_Sold,Revenue,Placement_Cost,ROI
P038,USB-C Hub,Electronics,Online-Banner,East,Apr-2025,189,5670.00,500.00,10.34
P039,Smart Watch Band,Electronics,Checkout,West,Apr-2025,134,4020.00,200.00,19.10
P040,Bluetooth Speaker,Electronics,Endcap,North,Apr-2025,289,11560.00,800.00,13.45
P041,Organic Green Tea,Beverages,Shelf-Eye-Level,South,May-2025,301,4515.00,400.00,10.29
P042,Premium Coffee Beans,Beverages,Endcap,East,May-2025,356,8900.00,800.00,10.13
P043,Sparkling Water,Beverages,Window,West,May-2025,189,945.00,600.00,0.58
P044,Energy Drink Pro,Beverages,Shelf-Eye-Level,North,May-2025,467,3736.00,400.00,8.34
P045,Herbal Infusion,Beverages,Checkout,South,May-2025,145,2175.00,200.00,9.88
P046,Protein Bar Elite,Snacks,Online-Banner,East,May-2025,378,2646.00,500.00,4.29
P047,Trail Mix Deluxe,Snacks,Checkout,West,May-2025,289,1734.00,200.00,7.67
P048,Dark Chocolate 70%,Snacks,Endcap,North,May-2025,589,2945.00,800.00,2.68
P049,Rice Crackers,Snacks,Window,South,May-2025,156,780.00,600.00,0.30
P050,Granola Clusters,Snacks,Endcap,East,May-2025,234,1872.00,800.00,1.34
P051,Face Moisturizer,Beauty,Online-Banner,West,Jun-2025,256,5120.00,500.00,9.24
P052,Sunscreen SPF50,Beauty,Checkout,North,Jun-2025,478,9560.00,200.00,46.80
P053,Lip Balm Organic,Beauty,Shelf-Eye-Level,South,Jun-2025,345,1380.00,400.00,2.45
P054,Hair Serum Pro,Beauty,Endcap,East,Jun-2025,212,6360.00,800.00,6.95
P055,Body Lotion Luxe,Beauty,Window,West,Jun-2025,167,2505.00,600.00,3.18
P056,Wireless Earbuds,Electronics,Checkout,North,Jun-2025,178,8900.00,200.00,43.50
P057,Phone Case Premium,Electronics,Online-Banner,South,Jun-2025,312,4680.00,500.00,8.36
P058,USB-C Hub,Electronics,Shelf-Eye-Level,East,Jun-2025,201,6030.00,400.00,14.08
P059,Smart Watch Band,Electronics,Endcap,West,Jun-2025,145,4350.00,800.00,4.44
P060,Bluetooth Speaker,Electronics,Window,North,Jun-2025,198,7920.00,600.00,12.20
P061,Organic Green Tea,Beverages,Checkout,South,Jul-2025,267,4005.00,200.00,19.03
P062,Premium Coffee Beans,Beverages,Window,East,Jul-2025,198,4950.00,600.00,7.25
P063,Sparkling Water,Beverages,Endcap,West,Jul-2025,312,1560.00,800.00,0.95
P064,Energy Drink Pro,Beverages,Online-Banner,North,Jul-2025,534,4272.00,500.00,7.54
P065,Herbal Infusion,Beverages,Shelf-Eye-Level,South,Jul-2025,189,2835.00,400.00,6.09
P066,Protein Bar Elite,Snacks,Window,East,Jul-2025,234,1638.00,600.00,1.73
P067,Trail Mix Deluxe,Snacks,Shelf-Eye-Level,West,Jul-2025,312,1872.00,400.00,3.68
P068,Dark Chocolate 70%,Snacks,Online-Banner,North,Jul-2025,423,2115.00,500.00,3.23
P069,Rice Crackers,Snacks,Endcap,South,Jul-2025,278,1390.00,800.00,0.74
P070,Granola Clusters,Snacks,Checkout,East,Jul-2025,345,2760.00,200.00,12.80
P071,Face Moisturizer,Beauty,Shelf-Eye-Level,West,Aug-2025,312,6240.00,400.00,14.60
P072,Sunscreen SPF50,Beauty,Window,North,Aug-2025,289,5780.00,600.00,8.63
P073,Lip Balm Organic,Beauty,Endcap,South,Aug-2025,423,1692.00,800.00,1.12
P074,Hair Serum Pro,Beauty,Checkout,East,Aug-2025,198,5940.00,200.00,28.70
P075,Body Lotion Luxe,Beauty,Shelf-Eye-Level,West,Aug-2025,234,3510.00,400.00,7.78
P076,Wireless Earbuds,Electronics,Window,North,Aug-2025,145,7250.00,600.00,11.08
P077,Phone Case Premium,Electronics,Checkout,South,Aug-2025,389,5835.00,200.00,28.18
P078,USB-C Hub,Electronics,Endcap,East,Aug-2025,213,6390.00,800.00,6.99
P079,Smart Watch Band,Electronics,Online-Banner,West,Aug-2025,167,5010.00,500.00,9.02
P080,Bluetooth Speaker,Electronics,Shelf-Eye-Level,North,Aug-2025,234,9360.00,400.00,22.40
P081,Organic Green Tea,Beverages,Window,South,Sep-2025,189,2835.00,600.00,3.73
P082,Premium Coffee Beans,Beverages,Checkout,East,Sep-2025,345,8625.00,200.00,42.13
P083,Sparkling Water,Beverages,Shelf-Eye-Level,West,Sep-2025,234,1170.00,400.00,1.93
P084,Energy Drink Pro,Beverages,Endcap,North,Sep-2025,489,3912.00,800.00,3.89
P085,Herbal Infusion,Beverages,Online-Banner,South,Sep-2025,156,2340.00,500.00,3.68
P086,Protein Bar Elite,Snacks,Checkout,East,Sep-2025,412,2884.00,200.00,13.42
P087,Trail Mix Deluxe,Snacks,Online-Banner,West,Sep-2025,267,1602.00,500.00,2.20
P088,Dark Chocolate 70%,Snacks,Shelf-Eye-Level,North,Sep-2025,534,2670.00,400.00,5.68
P089,Rice Crackers,Snacks,Checkout,South,Sep-2025,312,1560.00,200.00,6.80
P090,Granola Clusters,Snacks,Window,East,Sep-2025,178,1424.00,600.00,1.37
P091,Face Moisturizer,Beauty,Checkout,West,Oct-2025,345,6900.00,200.00,33.50
P092,Sunscreen SPF50,Beauty,Online-Banner,North,Oct-2025,234,4680.00,500.00,8.36
P093,Lip Balm Organic,Beauty,Window,South,Oct-2025,289,1156.00,600.00,0.93
P094,Hair Serum Pro,Beauty,Online-Banner,East,Oct-2025,198,5940.00,500.00,10.88
P095,Body Lotion Luxe,Beauty,Endcap,West,Oct-2025,278,4170.00,800.00,4.21
P096,Wireless Earbuds,Electronics,Online-Banner,North,Oct-2025,234,11700.00,500.00,22.40
P097,Phone Case Premium,Electronics,Window,South,Oct-2025,178,2670.00,600.00,3.45
P098,USB-C Hub,Electronics,Window,East,Oct-2025,156,4680.00,600.00,6.80
P099,Smart Watch Band,Electronics,Shelf-Eye-Level,West,Oct-2025,198,5940.00,400.00,13.85
P100,Bluetooth Speaker,Electronics,Checkout,North,Oct-2025,312,12480.00,200.00,61.40
P101,Organic Green Tea,Beverages,Online-Banner,South,Nov-2025,234,3510.00,500.00,6.02
P102,Premium Coffee Beans,Beverages,Endcap,East,Nov-2025,389,9725.00,800.00,11.16
P103,Sparkling Water,Beverages,Checkout,West,Nov-2025,267,1335.00,200.00,5.68
P104,Energy Drink Pro,Beverages,Window,North,Nov-2025,345,2760.00,600.00,3.60
P105,Herbal Infusion,Beverages,Endcap,South,Nov-2025,198,2970.00,800.00,2.71
P106,Protein Bar Elite,Snacks,Shelf-Eye-Level,East,Nov-2025,456,3192.00,400.00,6.98
P107,Trail Mix Deluxe,Snacks,Window,West,Nov-2025,189,1134.00,600.00,0.89
P108,Dark Chocolate 70%,Snacks,Endcap,North,Nov-2025,612,3060.00,800.00,2.83
P109,Rice Crackers,Snacks,Online-Banner,South,Nov-2025,198,990.00,500.00,0.98
P110,Granola Clusters,Snacks,Shelf-Eye-Level,East,Nov-2025,267,2136.00,400.00,4.34
P111,Face Moisturizer,Beauty,Endcap,West,Dec-2025,378,7560.00,800.00,8.45
P112,Sunscreen SPF50,Beauty,Shelf-Eye-Level,North,Dec-2025,198,3960.00,400.00,8.90
P113,Lip Balm Organic,Beauty,Checkout,South,Dec-2025,534,2136.00,200.00,9.68
P114,Hair Serum Pro,Beauty,Window,East,Dec-2025,167,5010.00,600.00,7.35
P115,Body Lotion Luxe,Beauty,Online-Banner,West,Dec-2025,289,4335.00,500.00,7.67
P116,Wireless Earbuds,Electronics,Endcap,North,Dec-2025,356,17800.00,800.00,21.25
P117,Phone Case Premium,Electronics,Shelf-Eye-Level,South,Dec-2025,423,6345.00,400.00,14.86
P118,USB-C Hub,Electronics,Checkout,East,Dec-2025,234,7020.00,200.00,34.10
P119,Smart Watch Band,Electronics,Window,West,Dec-2025,189,5670.00,600.00,8.45
P120,Bluetooth Speaker,Electronics,Online-Banner,North,Dec-2025,345,13800.00,500.00,26.60
P121,Organic Green Tea,Beverages,Shelf-Eye-Level,East,Jan-2026,312,4680.00,400.00,10.70
P122,Premium Coffee Beans,Beverages,Checkout,West,Jan-2026,278,6950.00,200.00,33.75
P123,Sparkling Water,Beverages,Endcap,North,Jan-2026,198,990.00,800.00,0.24
P124,Energy Drink Pro,Beverages,Shelf-Eye-Level,South,Jan-2026,456,3648.00,400.00,8.12
P125,Herbal Infusion,Beverages,Window,East,Jan-2026,145,2175.00,600.00,2.63
P126,Protein Bar Elite,Snacks,Endcap,West,Feb-2026,389,2723.00,800.00,2.40
P127,Trail Mix Deluxe,Snacks,Checkout,North,Feb-2026,345,2070.00,200.00,9.35
P128,Dark Chocolate 70%,Snacks,Shelf-Eye-Level,South,Feb-2026,478,2390.00,400.00,4.98
P129,Rice Crackers,Snacks,Endcap,East,Feb-2026,234,1170.00,800.00,0.46
P130,Granola Clusters,Snacks,Online-Banner,West,Feb-2026,198,1584.00,500.00,2.17
P131,Face Moisturizer,Beauty,Window,North,Feb-2026,267,5340.00,600.00,7.90
P132,Sunscreen SPF50,Beauty,Endcap,South,Feb-2026,312,6240.00,800.00,6.80
P133,Lip Balm Organic,Beauty,Shelf-Eye-Level,East,Feb-2026,389,1556.00,400.00,2.89
P134,Hair Serum Pro,Beauty,Checkout,West,Feb-2026,178,5340.00,200.00,25.70
P135,Body Lotion Luxe,Beauty,Window,North,Feb-2026,234,3510.00,600.00,4.85
P136,Wireless Earbuds,Electronics,Shelf-Eye-Level,South,Mar-2026,289,14450.00,400.00,35.13
P137,Phone Case Premium,Electronics,Endcap,East,Mar-2026,367,5505.00,800.00,5.88
P138,USB-C Hub,Electronics,Online-Banner,West,Mar-2026,198,5940.00,500.00,10.88
P139,Smart Watch Band,Electronics,Checkout,North,Mar-2026,212,6360.00,200.00,30.80
P140,Bluetooth Speaker,Electronics,Endcap,South,Mar-2026,278,11120.00,800.00,12.90
